NATURE_OF_CONTACT,MALE_PROB_NATURE,FEMALE_PROB_NATURE
Bail Compliance Check-No Violation,0.9090909090909091,0.09090909090909091
CPIC 10-66 Return to Investigator,0.8462301587301587,0.15376984126984128
Dispute (Non-Domestic),0.6429298067141404,0.3570701932858596
Drug Related,0.7937407257520572,0.2062592742479428
EDP Related,0.5616150019135093,0.4383849980864906
General Info for Intelligence Unit,0.7823700355182435,0.21762996448175653
General Investigation,0.7812155547390753,0.2187844452609247
Liquor Licence Act,0.8779105580879636,0.12208944191203647
Loitering,0.8889462809917356,0.11105371900826447
Radio Call,0.6563220429154105,0.3436779570845895
Sex Trade Related,0.28819695872556117,0.7118030412744388
Shoplifting,0.5387323943661971,0.4612676056338028
Squeegee Kid/Panhandler/Strt Person,0.8853725850965961,0.11462741490340386
Suspicious Activity,0.8406741573033708,0.15932584269662922
Traffic Stop,0.8420460933108488,0.1579539066891512
Trespassing,0.8269030239833159,0.17309697601668406
Vehicle Related,0.8310394220589151,0.16896057794108488
